species_code,sci_name,order,family
blkmer1,Falco columbarius suckleyi,Falconiformes,Falconidae (Falcons and Caracaras)
afrhob1,Falco cuvierii,Falconiformes,Falconidae (Falcons and Caracaras)
nezfal1,Falco novaeseelandiae,Falconiformes,Falconidae (Falcons and Caracaras)
aplfal,Falco femoralis,Falconiformes,Falconidae (Falcons and Caracaras)
lagfal1,Falco jugger,Falconiformes,Falconidae (Falcons and Caracaras)
gyrfal,Falco rusticolus,Falconiformes,Falconidae (Falcons and Caracaras)
diurap1,Accipitriformes/Falconiformes sp.,,
whbmes2,Mesitornis variegatus,Mesitornithiformes,Mesitornithidae (Mesites)
busflu1,Sarothrura elegans,Gruiformes,Sarothruridae (Flufftails)
whwflu1,Sarothrura ayresi,Gruiformes,Sarothruridae (Flufftails)
nkurai1,Himantornis haematopus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
mayrai1,Rallina mayri,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
ruscra1,Laterallus melanophaius,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
rudcra1,Laterallus ruber,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
whtcra3,Laterallus albigularis cinereiceps,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
blkrai,Laterallus jamaicensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
bawrai1,Nesoclopeus poecilopterus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
necrai1,Gallirallus lafresnayanus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
chirai1,Gallirallus modestus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
barrai1,Gallirallus torquatus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
calrai1,Gallirallus calayanensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
rourai1,Rougetius rougetii,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
clarai6,Rallus obsoletus beldingi,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
watrai1,Rallus aquaticus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
luzrai1,Lewinia mirifica,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
afrcra1,Crecopsis egregia,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
sbwrai1,Aramides saracura,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
ruccra1,Anurolimnas viridis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
layrai,Zapornia palmeri,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
spocra1,Porzana porzana,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
dowcra1,Porzana spiloptera,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
pabcra,Mustelirallus erythrops,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
sporai,Pardirallus maculatus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
waterc1,Gallicrex cinerea,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
trimoo1,Gallinula nesiotis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
commoo,Gallinula chloropus/galeata,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
dusmoo1,Gallinula tenebrosa,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
giacoo1,Fulica gigantea,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
slccoo1,Fulica ardesiaca,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
whwcoo1,Fulica leucoptera,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
sungre1,Heliornis fulica,Gruiformes,Heliornithidae (Finfoots)
sunbit1,Eurypyga helias,Eurypygiformes,Eurypygidae (Sunbittern)
grebus1,Otis tarda,Otidiformes,Otididae (Bustards)
indbus1,Ardeotis nigriceps,Otidiformes,Otididae (Bustards)
ausbus1,Ardeotis australis,Otidiformes,Otididae (Bustards)
stabus1,Neotis denhami,Otidiformes,Otididae (Bustards)
karbus1,Eupodotis vigorsii,Otidiformes,Otididae (Bustards)
litbus1,Tetrax tetrax,Otidiformes,Otididae (Bustards)
blccra1,Balearica pavonina,Gruiformes,Gruidae (Cranes)
sibcra1,Leucogeranus leucogeranus,Gruiformes,Gruidae (Cranes)
sancra,Antigone canadensis,Gruiformes,Gruidae (Cranes)
sancra1,Antigone canadensis canadensis,Gruiformes,Gruidae (Cranes)
sancra4,Antigone canadensis pulla,Gruiformes,Gruidae (Cranes)
brolga1,Antigone rubicunda,Gruiformes,Gruidae (Cranes)
bllser1,Chunga burmeisteri,Cariamiformes,Cariamidae (Seriemas)
petkne1,Burhinus superciliaris,Charadriiformes,Burhinidae (Thick-knees)
norlap,Vanellus vanellus,Charadriiformes,Charadriidae (Plovers and Lapwings)
whhlap1,Vanellus albiceps,Charadriiformes,Charadriidae (Plovers and Lapwings)
senlap1,Vanellus lugubris,Charadriiformes,Charadriidae (Plovers and Lapwings)
crolap1,Vanellus coronatus,Charadriiformes,Charadriidae (Plovers and Lapwings)
soclap1,Vanellus gregarius,Charadriiformes,Charadriidae (Plovers and Lapwings)
soulap2,Vanellus chilensis cayennensis,Charadriiformes,Charadriidae (Plovers and Lapwings)
rekdot1,Erythrogonys cinctus,Charadriiformes,Charadriidae (Plovers and Lapwings)
